upc,category,unit_label,name,threshold,reorder_amount,image
000000000604,PPE,Each,Eye Protection,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Protective%20Goggles.jpg
000000000611,PPE,Pair of,Respirator Filters,15,30,https://www.honeywellstore.com/store/images/products/large_images/RWS-54042.jpg
000000000628,PPE,Each,Gown/Apron,100,200,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/500x659/products/6222/10221/2023-03-28_7__32001.1737401627.png?c=1
000000000635,PPE,Each,Faceshield,100,200,https://m.media-amazon.com/images/I/51bun8HjgmL._SX522_.jpg
000000000642,PPE,Pair of,Shoe Covers,100,200,https://veralph.com/contentonly.aspx?file=images/subcategory/Shoe%20Covers.jpg
000000000666,PPE,Each,Tyvek Suit - Large,100,200,https://veralph.com/contentonly.aspx?file=images/subcategory/Tyvek%20Coveralls.jpg
000000000673,PPE,Each,Tyvek Suit - X-Large,100,200,https://veralph.com/contentonly.aspx?file=images/subcategory/Tyvek%20Coveralls.jpg
000000000680,PPE,Each,Tyvek Suit - 2X-Large,50,100,https://veralph.com/contentonly.aspx?file=images/subcategory/Tyvek%20Coveralls.jpg
000000000697,PPE,Roll of,Biohazard Bags,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Biohazard%20Bags.jpg
000000000703,Disinfection,Container of,Amber - Bleach Wipes,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Sani-Cloth%20Bleach.jpg
000000000710,Disinfection,Container of,Purple - Alcohol Wipes,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Super%20Sani-Cloth.jpg
000000000727,Disinfection,Container of,Red - Germicide Wipes,0,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7rLH7gnw23eZZrRRSfu2QpG8yhN092jLoMb-camqk7K6emW6wS3EA2dE&s=10
000000000734,Disinfection,Container of,Grey - Combo Wipes,5,10,https://pdihc.com/wp-content/uploads/2025/04/PDI-SaniCloth-AF3_Large-Canister_082025_800x800.png
000000000741,Immobilization,Each,C-Collar - Adult,20,40,https://veralph.com/contentonly.aspx?file=images/subcategory/Laerdal%20Stifneck%20Select%20Collar.jpg
000000000758,Immobilization,Each,C-Collar - Child,10,20,https://veralph.com/contentonly.aspx?file=images/subcategory/Laerdal%20Stifneck%20Pedi-Select.jpg
000000000765,Immobilization,Package of,Head Blocks - Adult,10,20,https://cdn.boundtree.com/btm/products/750574_original_515Wx515H_8890213072926
000000000772,Immobilization,Package of,Head Blocks - Child,10,20,https://veralph.com/contentonly.aspx?file=images/subcategory/I-Tec%20Multi-Grip.jpg
000000000789,Splint,Each,SAM Splint,10,20,https://veralph.com/contentonly.aspx?file=images/subcategory/SAM%20Splint.jpg
000000000796,Splint,Each,"Board Splints - 12"" ",5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Splints.jpg
000000000802,Splint,Each,"Board Splints - 18"" ",5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Splints.jpg
000000000819,Splint,Each,Board Splints - 3x15,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Splints.jpg
000000000826,Splint,Each,Board Splints - 3x36,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Splints.jpg
000000000833,Splint,Each,Board Splints - 3x54,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Splints.jpg
000000000840,Splint,Each,Cravat,36,72,https://veralph.com/contentonly.aspx?file=images/subcategory/Triangular%20Bandages.jpg
000000000857,Vitals,Each,BP Cuff - Large Adult ,3,5,https://veralph.com/contentonly.aspx?file=images/subcategory/Diagnostix%20775.jpg
000000000864,Vitals,Each,BP Cuff - Adult,3,5,https://veralph.com/contentonly.aspx?file=images/subcategory/Diagnostix%20775.jpg
000000000871,Vitals,Each,BP Cuff - Automatic,0,0,https://m.media-amazon.com/images/I/614JuOUVnjL._AC_SX679_.jpg
000000000888,Vitals,Each,BP Cuff - Child,3,5,https://target.scene7.com/is/image/Target/GUEST_c9897a40-a543-4272-af8f-082fe4586731
000000000895,Vitals,Each,BP Cuff - Infant,3,5,https://m.media-amazon.com/images/I/713lLqNaa8L.jpg
000000000901,Vitals,Each,Stethoscope,3,5,https://veralph.com/contentonly.aspx?file=images/subcategory/Dynarex%20Stethoscopes.jpg
000000000918,Vitals,Each,Pulse Oximeter,3,6,https://veralph.com/contentonly.aspx?file=images/subcategory/ADC%20Advantage%202200.jpg
000000000925,Medications,Bottle of,Aspirin,3,6,https://veralph.com/contentonly.aspx?file=images/subcategory/Aspirin.jpg
000000000932,Medications,Each,Epi Pen - Adult,5,10,https://images.squarespace-cdn.com/content/v1/57c99e749de4bb3184279ffc/1610038374614-QJQ2N58D0G72J4PBGZQH/How%2BTo_%2BCVS%2BGeneric%2BAuto-Injector.jpg?format=1000w
000000000949,Medications,Each,Epi Pen - Child,5,10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm_RWx9ossyfYyA48AQSd6o_fccHflvUWDuq5IfUznEn2lOTdZVrKmhVm1&s=10
000000000956,Medications,Each,Narcan,6,12,https://veralph.com/contentonly.aspx?file=images/subcategory/Narcan.jpg
000000000963,Medications,Each,Glucose,5,10,https://veralph.com/contentonly.aspx?file=images/subcategory/Glutose%2015.jpg
000000000970,CPR,Each,AED Pad - Adult,10,15,https://www.aedsuperstore.com/assets/images/ddp-100-large.jpg
000000000987,CPR,Each,AED Pad - Child,10,15,https://i0.wp.com/cpr1.com/wp-content/uploads/2025/12/Philips-HeartStart-Pediatric-Pads-M5072A-products.jpg
000000000994,CPR,Each,AED Battery,1,1,https://veralph.com/contentonly.aspx?file=images/subcategory/Battery%20for%20FR2_s.jpg
000000001007,CPR,Each,ZOLL LifeBand,3,3,https://sakomed.com/wp-content/uploads/2026/05/8700-0706-01.png
000000001014,Miscellaneous,Each,Trauma Shear,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Paramed%20Scissors.jpg
000000001021,Miscellaneous,Each,Seat Belt Cutter,6,9,https://veralph.com/contentonly.aspx?file=images/subcategory/Lifesaver%20Seatbelt%20Cutter.jpg
000000001038,Miscellaneous,Each,Ring Cutter,3,5,https://veralph.com/contentonly.aspx?file=images/subcategory/Finger%20Ring%20Cutter.jpg
000000001045,Miscellaneous,Each,Pen Light,10,15,https://veralph.com/contentonly.aspx?file=images/subcategory/Disposable%20Penlights.jpg
000000001052,Miscellaneous,Each,Emergency Blanket,20,30,https://veralph.com/contentonly.aspx?file=images/subcategory/Foil%20Baby%20Bunting.jpg
000000001069,Miscellaneous,Each,Tongue Depressor,100,200,https://veralph.com/contentonly.aspx?file=images/subcategory/Tongue%20Depressors.jpg
000000001083,Miscellaneous,Each,Vomit Bag,20,40,https://veralph.com/contentonly.aspx?file=images/subcategory/Convenience%20Bags.jpg
000000001090,Miscellaneous,Each,Basin,20,40,https://veralph.com/contentonly.aspx?file=images/subcategory/Wash%20Basin.jpg
000000001106,Miscellaneous,Pack of,Triage Tags,10,20,https://m.media-amazon.com/images/I/71tuWyn-gSL._SY679_.jpg
000000001113,Miscellaneous,Pair of,Alcohol Pad,300,600,https://veralph.com/contentonly.aspx?file=images/subcategory/Dynarex%20Alcohol%20Preps.jpg
000000001120,Miscellaneous,Each,Ice Pack,40,80,https://assets-prd.cintas.com/sf-assets/images/default-source/solutions-images/first-aid-safety/first-aid-supplies/instant-ice-pack.tmb-large_648.jpg?sfvrsn=a3ee7221_1
000000001137,Miscellaneous,Each,Heat Pack,40,60,https://cdn.shopify.com/s/files/1/0869/6299/5503/files/heat-stress-treatment-pack-473_640x640.jpg.webp?v=1759870209
000000001144,Miscellaneous,Each,Chux Pad,50,75,https://sarnova.s3.amazonaws.com/btm/products/4420080_original_515Wx515H_8818320179230
000000001151,Miscellaneous,Each,Mega Mover,7,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTu8WRvDTETMrDmDmblRR4rhVBDFHyL_nOi_vgT9dWDSRwxA09WVCG7gXWx&s=10
000000001168,Miscellaneous,Each,OB Kit,4,4,https://medicalgearoutfitters.com/cdn/shop/files/28658259886278.jpg?v=1780273191
000000001175,Miscellaneous,Each,Bulb Syringe,5,10,https://cdn11.bigcommerce.com/s-5t8r4xtx7v/images/stencil/1280x1280/products/3214/5437/7122z__68044.1737401580.jpg?c=1
000000001182,Bleeding,Package of,Quick Clot,3,10,https://rescue-essentials.com/cdn/shop/files/apik2stvn__00261.1602887090.1280.1280.jpg?v=1774430418
000000001199,Other Airway,Each,Albuterol,5,10,https://www.mountainside-medical.com/cdn/shop/files/Albuterol-Sulfate-for-Inhalation-1.25-mg-Ampules-3-mL_feae2c84-0626-420a-9879-fab225c9d58f.jpg?v=1725031673
000000001205,Other Airway,Each,Nebulizer Mask,5,10,https://www.mountainside-medical.com/cdn/shop/products/Pediatric-Nebulizer-Mask.jpg?v=1702382488
000000001212,Other Airway,Each,Small Volume Nebulizer,5,10,https://i0.wp.com/coastbiomed.com/wp-content/uploads/2019/01/Handheld-Nebulizer-With-Adult-Mask-%E2%80%93-7-ft-of-Tubing.jpg?fit=600%2C600&ssl=1
