id,date_raw,upc,transfer_type,number,timestamp,operation_type,from_storage,to_storage,storage
365,7/2/2022 23:23:15,000000000604,RECOUNT - Shelf,10,2022-07-02 23:23:15,COUNT,,Shelf,Shelf
364,7/2/2022 23:23:00,000000001113,RECOUNT - Shelf,200,2022-07-02 23:23:00,COUNT,,Shelf,Shelf
363,7/2/2022 23:22:09,000000001113,RECOUNT - Cage,100,2022-07-02 23:22:09,COUNT,,Cage,Cage
362,7/2/2022 23:21:39,000000001106,RECOUNT - Cage,5,2022-07-02 23:21:39,COUNT,,Cage,Cage
361,7/2/2022 23:21:27,000000000079,RECOUNT - Cage,5,2022-07-02 23:21:27,COUNT,,Cage,Cage
360,7/2/2022 23:21:14,000000001083,RECOUNT - Cage,4,2022-07-02 23:21:14,COUNT,,Cage,Cage
359,7/2/2022 23:21:06,000000001069,RECOUNT - Cage,200,2022-07-02 23:21:06,COUNT,,Cage,Cage
358,7/2/2022 23:20:30,000000000833,RECOUNT - Cage,10,2022-07-02 23:20:30,COUNT,,Cage,Cage
357,7/2/2022 23:20:20,000000000826,RECOUNT - Cage,8,2022-07-02 23:20:20,COUNT,,Cage,Cage
356,7/2/2022 23:20:06,000000000819,RECOUNT - Cage,3,2022-07-02 23:20:06,COUNT,,Cage,Cage
355,7/2/2022 23:19:57,000000000802,RECOUNT - Cage,6,2022-07-02 23:19:57,COUNT,,Cage,Cage
354,7/2/2022 23:19:42,000000000796,RECOUNT - Cage,6,2022-07-02 23:19:42,COUNT,,Cage,Cage
353,7/2/2022 23:19:12,000000000789,RECOUNT - Cage,8,2022-07-02 23:19:12,COUNT,,Cage,Cage
352,7/2/2022 23:18:58,000000001151,RECOUNT - Cage,2,2022-07-02 23:18:58,COUNT,,Cage,Cage
349,7/2/2022 23:16:19,000000000772,RECOUNT - Cage,13,2022-07-02 23:16:19,COUNT,,Cage,Cage
348,7/2/2022 23:16:05,000000000765,RECOUNT - Cage,14,2022-07-02 23:16:05,COUNT,,Cage,Cage
347,7/2/2022 23:15:11,000000000758,RECOUNT - Cage,17,2022-07-02 23:15:11,COUNT,,Cage,Cage
346,7/2/2022 23:14:32,000000000086,RECOUNT - Cage,4,2022-07-02 23:14:32,COUNT,,Cage,Cage
345,7/2/2022 23:14:14,000000000062,RECOUNT - Cage,108,2022-07-02 23:14:14,COUNT,,Cage,Cage
344,7/2/2022 23:13:55,000000000055,RECOUNT - Cage,36,2022-07-02 23:13:55,COUNT,,Cage,Cage
343,7/2/2022 23:13:39,000000001175,RECOUNT - Cage,2,2022-07-02 23:13:39,COUNT,,Cage,Cage
342,7/2/2022 23:13:28,000000000130,RECOUNT - Cage,48,2022-07-02 23:13:28,COUNT,,Cage,Cage
341,7/2/2022 23:13:12,000000000123,RECOUNT - Cage,30,2022-07-02 23:13:12,COUNT,,Cage,Cage
340,7/2/2022 23:13:00,000000000116,RECOUNT - Cage,32,2022-07-02 23:13:00,COUNT,,Cage,Cage
339,7/2/2022 23:12:34,000000000109,RECOUNT - Cage,48,2022-07-02 23:12:34,COUNT,,Cage,Cage
338,7/2/2022 23:12:18,000000000093,RECOUNT - Cage,48,2022-07-02 23:12:18,COUNT,,Cage,Cage
335,7/2/2022 23:10:39,000000000024,RECOUNT - Cage,200,2022-07-02 23:10:39,COUNT,,Cage,Cage
334,7/2/2022 23:09:46,000000000017,RECOUNT - Cage,120,2022-07-02 23:09:46,COUNT,,Cage,Cage
333,7/2/2022 23:09:19,000000000048,RECOUNT - Cage,7,2022-07-02 23:09:19,COUNT,,Cage,Cage
332,7/2/2022 23:09:05,000000000031,RECOUNT - Cage,7,2022-07-02 23:09:05,COUNT,,Cage,Cage
331,7/2/2022 23:08:50,000000001144,RECOUNT - Cage,150,2022-07-02 23:08:50,COUNT,,Cage,Cage
330,7/2/2022 23:07:55,000000001168,RECOUNT - Cage,3,2022-07-02 23:07:55,COUNT,,Cage,Cage
329,7/2/2022 23:07:34,000000001052,RECOUNT - Cage,25,2022-07-02 23:07:34,COUNT,,Cage,Cage
328,7/2/2022 23:07:22,000000001014,RECOUNT - Cage,14,2022-07-02 23:07:22,COUNT,,Cage,Cage
327,7/2/2022 23:07:13,000000001021,RECOUNT - Cage,8,2022-07-02 23:07:13,COUNT,,Cage,Cage
326,7/2/2022 23:07:04,000000001014,RECOUNT - Cage,17,2022-07-02 23:07:04,COUNT,,Cage,Cage
325,7/2/2022 23:06:47,000000000901,RECOUNT - Cage,9,2022-07-02 23:06:47,COUNT,,Cage,Cage
324,7/2/2022 23:05:20,000000000918,RECOUNT - Cage,4,2022-07-02 23:05:20,COUNT,,Cage,Cage
323,7/2/2022 23:05:10,000000000895,RECOUNT - Cage,1,2022-07-02 23:05:10,COUNT,,Cage,Cage
322,7/2/2022 23:05:02,000000000888,RECOUNT - Cage,8,2022-07-02 23:05:02,COUNT,,Cage,Cage
321,7/2/2022 23:04:43,000000000871,RECOUNT - Cage,2,2022-07-02 23:04:43,COUNT,,Cage,Cage
320,7/2/2022 23:04:25,000000000864,RECOUNT - Cage,9,2022-07-02 23:04:25,COUNT,,Cage,Cage
319,7/2/2022 23:04:14,000000000857,RECOUNT - Cage,2,2022-07-02 23:04:14,COUNT,,Cage,Cage
318,7/2/2022 23:03:39,000000001007,RECOUNT - Cage,2,2022-07-02 23:03:39,COUNT,,Cage,Cage
317,7/2/2022 23:03:29,000000000994,RECOUNT - Cage,1,2022-07-02 23:03:29,COUNT,,Cage,Cage
316,7/2/2022 23:02:21,000000000987,RECOUNT - Cage,2,2022-07-02 23:02:21,COUNT,,Cage,Cage
315,7/2/2022 23:02:11,000000000970,RECOUNT - Cage,5,2022-07-02 23:02:11,COUNT,,Cage,Cage
314,7/2/2022 23:01:21,000000000536,RECOUNT - Cage,4,2022-07-02 23:01:21,COUNT,,Cage,Cage
313,7/2/2022 23:00:57,000000000468,RECOUNT - Cage,2,2022-07-02 23:00:57,COUNT,,Cage,Cage
312,7/2/2022 23:00:50,000000000475,RECOUNT - Cage,8,2022-07-02 23:00:50,COUNT,,Cage,Cage
311,7/2/2022 23:00:42,000000000482,RECOUNT - Cage,8,2022-07-02 23:00:42,COUNT,,Cage,Cage
310,7/2/2022 23:00:32,000000000499,RECOUNT - Cage,4,2022-07-02 23:00:32,COUNT,,Cage,Cage
309,7/2/2022 23:00:18,000000000505,RECOUNT - Cage,6,2022-07-02 23:00:18,COUNT,,Cage,Cage
308,7/2/2022 23:00:11,000000000512,RECOUNT - Cage,11,2022-07-02 23:00:11,COUNT,,Cage,Cage
307,7/2/2022 22:59:49,000000000321,RECOUNT - Cage,26,2022-07-02 22:59:49,COUNT,,Cage,Cage
306,7/2/2022 22:59:40,000000000314,RECOUNT - Cage,9,2022-07-02 22:59:40,COUNT,,Cage,Cage
305,7/2/2022 22:59:17,000000000307,RECOUNT - Cage,6,2022-07-02 22:59:17,COUNT,,Cage,Cage
304,7/2/2022 22:59:04,000000000291,RECOUNT - Cage,2,2022-07-02 22:59:04,COUNT,,Cage,Cage
303,7/2/2022 22:58:55,000000000284,RECOUNT - Cage,10,2022-07-02 22:58:55,COUNT,,Cage,Cage
302,7/2/2022 22:58:43,000000000277,RECOUNT - Cage,3,2022-07-02 22:58:43,COUNT,,Cage,Cage
301,7/2/2022 22:58:35,000000000260,RECOUNT - Cage,3,2022-07-02 22:58:35,COUNT,,Cage,Cage
300,7/2/2022 22:58:23,000000000253,RECOUNT - Cage,7,2022-07-02 22:58:23,COUNT,,Cage,Cage
299,7/2/2022 22:58:10,000000000246,RECOUNT - Cage,5,2022-07-02 22:58:10,COUNT,,Cage,Cage
298,7/2/2022 22:58:07,000000000246,RECOUNT - Cage,5,2022-07-02 22:58:07,COUNT,,Cage,Cage
297,7/2/2022 22:57:56,000000000239,RECOUNT - Cage,8,2022-07-02 22:57:56,COUNT,,Cage,Cage
296,7/2/2022 22:55:22,000000000222,RECOUNT - Cage,8,2022-07-02 22:55:22,COUNT,,Cage,Cage
295,7/2/2022 22:55:08,000000000215,RECOUNT - Cage,15,2022-07-02 22:55:08,COUNT,,Cage,Cage
294,7/2/2022 22:54:58,000000000208,RECOUNT - Cage,12,2022-07-02 22:54:58,COUNT,,Cage,Cage
293,7/2/2022 22:54:45,000000000192,RECOUNT - Cage,1,2022-07-02 22:54:45,COUNT,,Cage,Cage
292,7/2/2022 22:54:37,000000000185,RECOUNT - Cage,12,2022-07-02 22:54:37,COUNT,,Cage,Cage
291,7/2/2022 22:54:29,000000000178,RECOUNT - Cage,5,2022-07-02 22:54:29,COUNT,,Cage,Cage
290,7/2/2022 22:54:21,000000000161,RECOUNT - Cage,15,2022-07-02 22:54:21,COUNT,,Cage,Cage
289,7/2/2022 22:54:09,000000000154,RECOUNT - Cage,5,2022-07-02 22:54:09,COUNT,,Cage,Cage
288,7/2/2022 22:54:01,000000000147,RECOUNT - Cage,10,2022-07-02 22:54:01,COUNT,,Cage,Cage
287,7/2/2022 22:53:42,000000000420,RECOUNT - Cage,10,2022-07-02 22:53:42,COUNT,,Cage,Cage
286,7/2/2022 22:53:32,000000000413,RECOUNT - Cage,10,2022-07-02 22:53:32,COUNT,,Cage,Cage
285,7/2/2022 22:53:07,000000000406,RECOUNT - Cage,2,2022-07-02 22:53:07,COUNT,,Cage,Cage
284,7/2/2022 22:52:59,000000000390,RECOUNT - Cage,6,2022-07-02 22:52:59,COUNT,,Cage,Cage
283,7/2/2022 22:52:51,000000000383,RECOUNT - Cage,7,2022-07-02 22:52:51,COUNT,,Cage,Cage
282,7/2/2022 22:52:39,000000000376,RECOUNT - Cage,24,2022-07-02 22:52:39,COUNT,,Cage,Cage
281,7/2/2022 22:52:24,000000000369,RECOUNT - Cage,21,2022-07-02 22:52:24,COUNT,,Cage,Cage
280,7/2/2022 22:51:32,000000000352,RECOUNT - Cage,20,2022-07-02 22:51:32,COUNT,,Cage,Cage
279,7/2/2022 22:51:06,000000000345,RECOUNT - Cage,7,2022-07-02 22:51:06,COUNT,,Cage,Cage
278,7/2/2022 22:50:45,000000000338,RECOUNT - Cage,34,2022-07-02 22:50:45,COUNT,,Cage,Cage
277,7/2/2022 22:30:15,000000000543,RECOUNT - Shelf,24,2022-07-02 22:30:15,COUNT,,Shelf,Shelf
276,7/2/2022 22:29:59,000000000550,RECOUNT - Shelf,12,2022-07-02 22:29:59,COUNT,,Shelf,Shelf
275,7/2/2022 22:29:27,000000000567,RECOUNT - Shelf,15,2022-07-02 22:29:27,COUNT,,Shelf,Shelf
274,7/2/2022 22:29:10,000000000574,RECOUNT - Shelf,13,2022-07-02 22:29:10,COUNT,,Shelf,Shelf
273,7/2/2022 22:27:57,000000001144,RECOUNT - Shelf,198,2022-07-02 22:27:57,COUNT,,Shelf,Shelf
272,7/2/2022 22:26:07,000000001090,RECOUNT - Shelf,1,2022-07-02 22:26:07,COUNT,,Shelf,Shelf
271,7/2/2022 22:25:46,000000000697,RECOUNT - Shelf,1,2022-07-02 22:25:46,COUNT,,Shelf,Shelf
270,7/2/2022 22:25:37,000000001168,RECOUNT - Shelf,1,2022-07-02 22:25:37,COUNT,,Shelf,Shelf
269,7/2/2022 22:25:31,000000001151,RECOUNT - Shelf,2,2022-07-02 22:25:31,COUNT,,Shelf,Shelf
268,7/2/2022 22:25:29,000000001151,RECOUNT - Shelf,2,2022-07-02 22:25:29,COUNT,,Shelf,Shelf
267,7/2/2022 22:24:57,000000000758,RECOUNT - Shelf,4,2022-07-02 22:24:57,COUNT,,Shelf,Shelf
266,7/2/2022 22:24:42,000000000741,RECOUNT - Shelf,9,2022-07-02 22:24:42,COUNT,,Shelf,Shelf
265,7/2/2022 22:24:14,000000000772,RECOUNT - Shelf,3,2022-07-02 22:24:14,COUNT,,Shelf,Shelf
264,7/2/2022 22:24:05,000000000765,RECOUNT - Shelf,3,2022-07-02 22:24:05,COUNT,,Shelf,Shelf
263,7/2/2022 22:23:49,000000000581,RECOUNT - Shelf,80,2022-07-02 22:23:49,COUNT,,Shelf,Shelf
262,7/2/2022 22:23:22,000000000628,RECOUNT - Shelf,15,2022-07-02 22:23:22,COUNT,,Shelf,Shelf
261,7/2/2022 22:23:13,000000000635,RECOUNT - Shelf,8,2022-07-02 22:23:13,COUNT,,Shelf,Shelf
260,7/2/2022 22:22:59,000000000604,RECOUNT - Shelf,1,2022-07-02 22:22:59,COUNT,,Shelf,Shelf
259,7/2/2022 22:22:45,000000000642,RECOUNT - Shelf,60,2022-07-02 22:22:45,COUNT,,Shelf,Shelf
258,7/2/2022 22:21:45,000000000482,RECOUNT - Shelf,3,2022-07-02 22:21:45,COUNT,,Shelf,Shelf
257,7/2/2022 22:21:36,000000000505,RECOUNT - Shelf,4,2022-07-02 22:21:36,COUNT,,Shelf,Shelf
256,7/2/2022 22:21:24,000000000505,RECOUNT - Shelf,3,2022-07-02 22:21:24,COUNT,,Shelf,Shelf
255,7/2/2022 22:21:12,000000000505,RECOUNT - Shelf,1,2022-07-02 22:21:12,COUNT,,Shelf,Shelf
254,7/2/2022 22:20:59,000000000475,RECOUNT - Shelf,1,2022-07-02 22:20:59,COUNT,,Shelf,Shelf
253,7/2/2022 22:20:53,000000000468,RECOUNT - Shelf,9,2022-07-02 22:20:53,COUNT,,Shelf,Shelf
252,7/2/2022 22:20:27,000000000499,RECOUNT - Shelf,1,2022-07-02 22:20:27,COUNT,,Shelf,Shelf
251,7/2/2022 22:20:15,000000000512,RECOUNT - Shelf,4,2022-07-02 22:20:15,COUNT,,Shelf,Shelf
250,7/2/2022 22:19:31,000000000529,RECOUNT - Shelf,25,2022-07-02 22:19:31,COUNT,,Shelf,Shelf
249,7/2/2022 22:16:45,000000000536,RECOUNT - Shelf,1,2022-07-02 22:16:45,COUNT,,Shelf,Shelf
248,7/2/2022 22:16:30,000000000451,RECOUNT - Shelf,1,2022-07-02 22:16:30,COUNT,,Shelf,Shelf
247,7/2/2022 22:15:57,000000001120,RECOUNT - Shelf,19,2022-07-02 22:15:57,COUNT,,Shelf,Shelf
246,7/2/2022 22:15:32,000000001137,RECOUNT - Shelf,10,2022-07-02 22:15:32,COUNT,,Shelf,Shelf
245,7/2/2022 22:14:13,000000000062,RECOUNT - Shelf,23,2022-07-02 22:14:13,COUNT,,Shelf,Shelf
244,7/2/2022 22:13:13,000000000055,RECOUNT - Shelf,6,2022-07-02 22:13:13,COUNT,,Shelf,Shelf
243,7/2/2022 22:13:00,000000000024,RECOUNT - Shelf,35,2022-07-02 22:13:00,COUNT,,Shelf,Shelf
242,7/2/2022 22:12:22,000000000017,RECOUNT - Shelf,20,2022-07-02 22:12:22,COUNT,,Shelf,Shelf
241,7/2/2022 22:11:49,000000000970,RECOUNT - Shelf,2,2022-07-02 22:11:49,COUNT,,Shelf,Shelf
240,7/2/2022 22:11:33,000000001113,RECOUNT - Shelf,2,2022-07-02 22:11:33,COUNT,,Shelf,Shelf
239,7/2/2022 22:11:24,000000000000,RECOUNT - Shelf,3,2022-07-02 22:11:24,COUNT,,Shelf,Shelf
238,7/2/2022 22:11:15,000000000086,RECOUNT - Shelf,1,2022-07-02 22:11:15,COUNT,,Shelf,Shelf
237,7/2/2022 22:11:02,000000000413,RECOUNT - Shelf,7,2022-07-02 22:11:02,COUNT,,Shelf,Shelf
236,7/2/2022 22:10:26,000000000406,RECOUNT - Shelf,4,2022-07-02 22:10:26,COUNT,,Shelf,Shelf
235,7/2/2022 22:09:20,000000000420,RECOUNT - Shelf,5,2022-07-02 22:09:20,COUNT,,Shelf,Shelf
234,7/2/2022 22:09:04,000000000383,RECOUNT - Shelf,2,2022-07-02 22:09:04,COUNT,,Shelf,Shelf
233,7/2/2022 22:08:32,000000000215,RECOUNT - Shelf,4,2022-07-02 22:08:32,COUNT,,Shelf,Shelf
232,7/2/2022 22:08:20,000000000208,RECOUNT - Shelf,4,2022-07-02 22:08:20,COUNT,,Shelf,Shelf
231,7/2/2022 22:08:03,000000000192,RECOUNT - Shelf,3,2022-07-02 22:08:03,COUNT,,Shelf,Shelf
230,7/2/2022 22:07:51,000000000185,RECOUNT - Shelf,5,2022-07-02 22:07:51,COUNT,,Shelf,Shelf
229,7/2/2022 22:07:35,000000000178,RECOUNT - Shelf,4,2022-07-02 22:07:35,COUNT,,Shelf,Shelf
228,7/2/2022 22:07:24,000000000161,RECOUNT - Shelf,4,2022-07-02 22:07:24,COUNT,,Shelf,Shelf
227,7/2/2022 22:07:08,000000000154,RECOUNT - Shelf,5,2022-07-02 22:07:08,COUNT,,Shelf,Shelf
226,7/2/2022 22:06:54,000000000147,RECOUNT - Shelf,4,2022-07-02 22:06:54,COUNT,,Shelf,Shelf
225,7/2/2022 22:06:25,000000000314,RECOUNT - Shelf,6,2022-07-02 22:06:25,COUNT,,Shelf,Shelf
224,7/2/2022 22:06:01,000000000307,RECOUNT - Shelf,3,2022-07-02 22:06:01,COUNT,,Shelf,Shelf
223,7/2/2022 22:05:41,000000000291,RECOUNT - Shelf,6,2022-07-02 22:05:41,COUNT,,Shelf,Shelf
222,7/2/2022 22:05:11,000000000284,RECOUNT - Shelf,5,2022-07-02 22:05:11,COUNT,,Shelf,Shelf
221,7/2/2022 22:05:02,000000000277,RECOUNT - Shelf,1,2022-07-02 22:05:02,COUNT,,Shelf,Shelf
220,7/2/2022 22:04:32,000000000260,RECOUNT - Shelf,5,2022-07-02 22:04:32,COUNT,,Shelf,Shelf
219,7/2/2022 22:04:10,000000000253,RECOUNT - Shelf,5,2022-07-02 22:04:10,COUNT,,Shelf,Shelf
218,7/2/2022 22:03:51,000000000246,RECOUNT - Shelf,3,2022-07-02 22:03:51,COUNT,,Shelf,Shelf
217,7/2/2022 22:03:30,000000000239,RECOUNT - Shelf,3,2022-07-02 22:03:30,COUNT,,Shelf,Shelf
216,7/2/2022 22:03:12,000000000321,RECOUNT - Shelf,10,2022-07-02 22:03:12,COUNT,,Shelf,Shelf
215,7/2/2022 22:02:49,000000000123,RECOUNT - Shelf,2,2022-07-02 22:02:49,COUNT,,Shelf,Shelf
214,7/2/2022 22:02:26,000000000840,RECOUNT - Shelf,6,2022-07-02 22:02:26,COUNT,,Shelf,Shelf
213,7/2/2022 22:02:13,000000000789,RECOUNT - Shelf,2,2022-07-02 22:02:13,COUNT,,Shelf,Shelf
212,7/2/2022 22:01:45,000000001069,RECOUNT - Shelf,24,2022-07-02 22:01:45,COUNT,,Shelf,Shelf
211,7/2/2022 22:01:12,000000000963,RECOUNT - Shelf,1,2022-07-02 22:01:12,COUNT,,Shelf,Shelf
210,7/2/2022 22:01:02,000000001083,RECOUNT - Shelf,2,2022-07-02 22:01:02,COUNT,,Shelf,Shelf
209,7/2/2022 22:00:42,000000001014,RECOUNT - Shelf,5,2022-07-02 22:00:42,COUNT,,Shelf,Shelf
208,7/2/2022 22:00:18,000000000345,RECOUNT - Shelf,5,2022-07-02 22:00:18,COUNT,,Shelf,Shelf
207,7/2/2022 21:59:56,000000000376,RECOUNT - Shelf,18,2022-07-02 21:59:56,COUNT,,Shelf,Shelf
206,7/2/2022 21:59:09,000000000345,RECOUNT - Shelf,4,2022-07-02 21:59:09,COUNT,,Shelf,Shelf
205,7/2/2022 21:55:31,000000000369,RECOUNT - Shelf,6,2022-07-02 21:55:31,COUNT,,Shelf,Shelf
204,7/2/2022 21:55:13,000000000338,RECOUNT - Shelf,3,2022-07-02 21:55:13,COUNT,,Shelf,Shelf
409,12/23/2022 1:36:29,000000000000,RECOUNT - Cage,31,2022-12-23 01:36:29,COUNT,,Cage,Cage
410,12/23/2022 1:36:29,000000000017,RECOUNT - Cage,39,2022-12-23 01:36:29,COUNT,,Cage,Cage
411,12/23/2022 1:36:29,000000000024,RECOUNT - Cage,244,2022-12-23 01:36:29,COUNT,,Cage,Cage
412,12/23/2022 1:36:29,000000000031,RECOUNT - Cage,13,2022-12-23 01:36:29,COUNT,,Cage,Cage
413,12/23/2022 1:36:29,000000000048,RECOUNT - Cage,2,2022-12-23 01:36:29,COUNT,,Cage,Cage
414,12/23/2022 1:36:29,000000000055,RECOUNT - Cage,60,2022-12-23 01:36:29,COUNT,,Cage,Cage
415,12/23/2022 1:36:29,000000000062,RECOUNT - Cage,72,2022-12-23 01:36:29,COUNT,,Cage,Cage
416,12/23/2022 1:36:29,000000000079,RECOUNT - Cage,5,2022-12-23 01:36:29,COUNT,,Cage,Cage
417,12/23/2022 1:36:29,000000000086,RECOUNT - Cage,3,2022-12-23 01:36:29,COUNT,,Cage,Cage
418,12/23/2022 1:36:29,000000000093,RECOUNT - Cage,42,2022-12-23 01:36:29,COUNT,,Cage,Cage
419,12/23/2022 1:36:29,000000000109,RECOUNT - Cage,46,2022-12-23 01:36:29,COUNT,,Cage,Cage
420,12/23/2022 1:36:29,000000000116,RECOUNT - Cage,28,2022-12-23 01:36:29,COUNT,,Cage,Cage
421,12/23/2022 1:36:29,000000000123,RECOUNT - Cage,30,2022-12-23 01:36:29,COUNT,,Cage,Cage
422,12/23/2022 1:36:29,000000000130,RECOUNT - Cage,48,2022-12-23 01:36:29,COUNT,,Cage,Cage
423,12/23/2022 1:36:29,000000000147,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
424,12/23/2022 1:36:29,000000000154,RECOUNT - Cage,5,2022-12-23 01:36:29,COUNT,,Cage,Cage
425,12/23/2022 1:36:29,000000000161,RECOUNT - Cage,15,2022-12-23 01:36:29,COUNT,,Cage,Cage
426,12/23/2022 1:36:29,000000000178,RECOUNT - Cage,5,2022-12-23 01:36:29,COUNT,,Cage,Cage
427,12/23/2022 1:36:29,000000000185,RECOUNT - Cage,14,2022-12-23 01:36:29,COUNT,,Cage,Cage
428,12/23/2022 1:36:29,000000000192,RECOUNT - Cage,8,2022-12-23 01:36:29,COUNT,,Cage,Cage
429,12/23/2022 1:36:29,000000000208,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
430,12/23/2022 1:36:29,000000000215,RECOUNT - Cage,14,2022-12-23 01:36:29,COUNT,,Cage,Cage
431,12/23/2022 1:36:29,000000000222,RECOUNT - Cage,8,2022-12-23 01:36:29,COUNT,,Cage,Cage
432,12/23/2022 1:36:29,000000000239,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
433,12/23/2022 1:36:29,000000000246,RECOUNT - Cage,7,2022-12-23 01:36:29,COUNT,,Cage,Cage
434,12/23/2022 1:36:29,000000000253,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
435,12/23/2022 1:36:29,000000000260,RECOUNT - Cage,11,2022-12-23 01:36:29,COUNT,,Cage,Cage
436,12/23/2022 1:36:29,000000000277,RECOUNT - Cage,8,2022-12-23 01:36:29,COUNT,,Cage,Cage
437,12/23/2022 1:36:29,000000000284,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
438,12/23/2022 1:36:29,000000000291,RECOUNT - Cage,12,2022-12-23 01:36:29,COUNT,,Cage,Cage
439,12/23/2022 1:36:29,000000000307,RECOUNT - Cage,8,2022-12-23 01:36:29,COUNT,,Cage,Cage
440,12/23/2022 1:36:29,000000000314,RECOUNT - Cage,14,2022-12-23 01:36:29,COUNT,,Cage,Cage
441,12/23/2022 1:36:29,000000000321,RECOUNT - Cage,94,2022-12-23 01:36:29,COUNT,,Cage,Cage
442,12/23/2022 1:36:29,000000000338,RECOUNT - Cage,83,2022-12-23 01:36:29,COUNT,,Cage,Cage
443,12/23/2022 1:36:29,000000000345,RECOUNT - Cage,78,2022-12-23 01:36:29,COUNT,,Cage,Cage
444,12/23/2022 1:36:29,000000000352,RECOUNT - Cage,20,2022-12-23 01:36:29,COUNT,,Cage,Cage
445,12/23/2022 1:36:29,000000000369,RECOUNT - Cage,90,2022-12-23 01:36:29,COUNT,,Cage,Cage
446,12/23/2022 1:36:29,000000000376,RECOUNT - Cage,41,2022-12-23 01:36:29,COUNT,,Cage,Cage
447,12/23/2022 1:36:29,000000000383,RECOUNT - Cage,15,2022-12-23 01:36:29,COUNT,,Cage,Cage
448,12/23/2022 1:36:29,000000000390,RECOUNT - Cage,14,2022-12-23 01:36:29,COUNT,,Cage,Cage
449,12/23/2022 1:36:29,000000000406,RECOUNT - Cage,2,2022-12-23 01:36:29,COUNT,,Cage,Cage
450,12/23/2022 1:36:29,000000000413,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
451,12/23/2022 1:36:29,000000000420,RECOUNT - Cage,10,2022-12-23 01:36:29,COUNT,,Cage,Cage
